Date,Currency Code,Rate
2017-06-05,RUB,0.023800
2017-06-05,SAR,0.359500
2017-06-05,SGD,0.975900
2017-06-05,ZAR,0.106030
2017-06-05,KRW,0.001204
2017-06-05,SEK,0.155700
2017-06-05,CHF,1.396800
2017-06-05,TWD,0.044820
2017-06-05,THB,0.039610
2017-06-05,TRY,0.382600
2017-06-05,GBP,1.741600
2017-06-05,USD,1.348300
2017-06-05,VND,0.000059
2017-06-06,AUD,1.010900
2017-06-06,BRL,0.410100
2017-06-06,CNY,0.198100
2017-06-06,EUR,1.517000
2017-06-06,HKD,0.172711
2017-06-06,INR,0.020890
2017-06-06,IDR,0.000101
2017-06-06,JPY,0.012300
2017-06-06,MYR,0.315500
2017-06-06,MXN,0.073650
2017-06-06,NZD,0.967800
2017-06-06,NOK,0.159100
2017-06-06,PEN,0.412100
2017-06-06,RUB,0.023790
2017-06-06,SAR,0.358900
2017-06-06,SGD,0.975700
2017-06-06,ZAR,0.104950
2017-06-06,KRW,0.001203
2017-06-06,SEK,0.155300
2017-06-06,CHF,1.398000
2017-06-06,TWD,0.044710
2017-06-06,THB,0.039630
2017-06-06,TRY,0.382500
2017-06-06,GBP,1.735400
2017-06-06,USD,1.346100
2017-06-06,VND,0.000059
2017-06-07,AUD,1.019100
2017-06-07,BRL,0.411800
2017-06-07,CNY,0.198500
2017-06-07,EUR,1.517900
2017-06-07,HKD,0.173093
2017-06-07,INR,0.020950
2017-06-07,IDR,0.000101
2017-06-07,JPY,0.012320
2017-06-07,MYR,0.316700
2017-06-07,MXN,0.073990
2017-06-07,NZD,0.970800
2017-06-07,NOK,0.159100
2017-06-07,PEN,0.412800
2017-06-07,RUB,0.023700
2017-06-07,SAR,0.359700
2017-06-07,SGD,0.976600
2017-06-07,ZAR,0.105090
2017-06-07,KRW,0.001200
2017-06-07,SEK,0.155200
2017-06-07,CHF,1.398400
2017-06-07,TWD,0.044740
2017-06-07,THB,0.039660
2017-06-07,TRY,0.380500
2017-06-07,GBP,1.746100
2017-06-07,USD,1.349200
2017-06-07,VND,0.000059
2017-06-08,AUD,1.018500
2017-06-08,BRL,0.411700
2017-06-08,CNY,0.198600
2017-06-08,EUR,1.514500
2017-06-08,HKD,0.173183
2017-06-08,INR,0.021020
2017-06-08,IDR,0.000102
2017-06-08,JPY,0.012260
2017-06-08,MYR,0.316400
2017-06-08,MXN,0.074180
2017-06-08,NZD,0.974200
2017-06-08,NOK,0.159000
2017-06-08,PEN,0.412900
2017-06-08,RUB,0.023710
2017-06-08,SAR,0.360000
2017-06-08,SGD,0.977200
2017-06-08,ZAR,0.104640
2017-06-08,KRW,0.001202
2017-06-08,SEK,0.154900
2017-06-08,CHF,1.395400
2017-06-08,TWD,0.044830
2017-06-08,THB,0.039640
2017-06-08,TRY,0.382400
2017-06-08,GBP,1.746300
2017-06-08,USD,1.350300
2017-06-08,VND,0.000060
2017-06-09,AUD,1.013100
2017-06-09,BRL,0.410600
2017-06-09,CNY,0.197900
2017-06-09,EUR,1.505200
2017-06-09,HKD,0.172535
2017-06-09,INR,0.020940
2017-06-09,IDR,0.000101
2017-06-09,JPY,0.012170
2017-06-09,MYR,0.315400
2017-06-09,MXN,0.073990
2017-06-09,NZD,0.969200
2017-06-09,NOK,0.158200
2017-06-09,PEN,0.411600
2017-06-09,RUB,0.023610
2017-06-09,SAR,0.358700
2017-06-09,SGD,0.971800
2017-06-09,ZAR,0.104500
2017-06-09,KRW,0.001196
2017-06-09,SEK,0.154200
2017-06-09,CHF,1.386800
2017-06-09,TWD,0.044640
2017-06-09,THB,0.039490
2017-06-09,TRY,0.380600
2017-06-09,GBP,1.712600
2017-06-09,USD,1.345300
2017-06-09,VND,0.000059
2017-06-12,AUD,1.011300
2017-06-12,BRL,0.405800
2017-06-12,CNY,0.197300
2017-06-12,EUR,1.503200
2017-06-12,HKD,0.171988
2017-06-12,INR,0.020800
2017-06-12,IDR,0.000101
2017-06-12,JPY,0.012210
2017-06-12,MYR,0.314500
2017-06-12,MXN,0.073830
2017-06-12,NZD,0.965800
2017-06-12,NOK,0.158400
2017-06-12,PEN,0.409500
2017-06-12,RUB,0.023540
2017-06-12,SAR,0.357700
2017-06-12,SGD,0.969000
2017-06-12,ZAR,0.104620
2017-06-12,KRW,0.001185
2017-06-12,SEK,0.153500
2017-06-12,CHF,1.385000
2017-06-12,TWD,0.044370
2017-06-12,THB,0.039380
2017-06-12,TRY,0.381100
2017-06-12,GBP,1.698200
2017-06-12,USD,1.341500
2017-06-12,VND,0.000059
2017-06-13,AUD,0.997700
2017-06-13,BRL,0.399500
2017-06-13,CNY,0.194700
2017-06-13,EUR,1.483500
2017-06-13,HKD,0.169749
2017-06-13,INR,0.020570
2017-06-13,IDR,0.000100
2017-06-13,JPY,0.012030
2017-06-13,MYR,0.310600
2017-06-13,MXN,0.073230
2017-06-13,NZD,0.956000
2017-06-13,NOK,0.156900
2017-06-13,PEN,0.403800
2017-06-13,RUB,0.023270
2017-06-13,SAR,0.353000
2017-06-13,SGD,0.958300
2017-06-13,ZAR,0.103650
2017-06-13,KRW,0.001173
2017-06-13,SEK,0.152200
2017-06-13,CHF,1.367100
2017-06-13,TWD,0.043790
2017-06-13,THB,0.039030
2017-06-13,TRY,0.376000
2017-06-13,GBP,1.686400
2017-06-13,USD,1.323800
2017-06-13,VND,0.000058
2017-06-14,AUD,1.005600
2017-06-14,BRL,0.402400
2017-06-14,CNY,0.194500
